date,food_id,food_name,category,current_stock,average_daily_demand,forecasted_demand,stock_coverage_days,waste_ratio,days_to_expiry,predicted_risk_score,predicted_risk_category,forecast_source
2026-08-18,40,onions,Vegetables,370.0,44.08,308.53,8.3948,0.0,11,43.25,MODERATE,GLOBAL_HISTORY
2026-08-18,41,Rice,Cooked Food,20.0,49.63,347.4,0.403,0.005128,1,44.58,MODERATE,LSTM_FOOD_NAME
2026-08-18,42,chapati,Bakery,20.0,59.12,413.87,0.3383,0.003115,2,44.55,MODERATE,LSTM_FOOD_NAME
2026-08-18,43,Milk,Dairy,20.0,51.2,358.43,0.3906,0.004718,1,44.57,MODERATE,LSTM_FOOD_NAME
2026-08-18,44,Vegetable Curry,Vegetables,20.0,37.44,262.05,0.5342,0.006263,2,44.59,MODERATE,LSTM_FOOD_NAME
2026-08-18,45,Dal,Cooked Food,50.0,33.68,235.73,1.4847,0.00555,3,35.58,MODERATE,LSTM_FOOD_NAME
2026-08-18,46,Bread,Bakery,60.0,43.32,303.26,1.385,0.005431,0,49.08,MODERATE,LSTM_FOOD_NAME
2026-08-18,47,Curd,Dairy,40.0,35.5,248.51,1.1267,0.007292,1,44.61,MODERATE,LSTM_FOOD_NAME
2026-08-18,48,pulao,Cooked Food,80.0,41.55,290.85,1.9254,0.004377,0,53.07,MODERATE,LSTM_FOOD_NAME
2026-08-18,49,Rice,Cooked Food,2.0,49.63,347.4,0.0403,0.005128,2,44.58,MODERATE,LSTM_FOOD_NAME
2026-08-18,50,Apple,Fruits,30.0,44.08,308.53,0.6807,0.0,4,35.5,MODERATE,GLOBAL_HISTORY
2026-08-18,51,Mango,Fruits,20.0,44.08,308.53,0.4538,0.0,4,35.5,MODERATE,GLOBAL_HISTORY
2026-08-18,52,Kiwi,Fruits,5.0,44.08,308.53,0.1134,0.0,3,35.5,MODERATE,GLOBAL_HISTORY
2026-08-18,53,jack,Fruits,20.0,44.08,308.53,0.4538,0.0,3,35.5,MODERATE,GLOBAL_HISTORY
2026-08-18,54,Rice,Cooked Food,40.0,49.63,347.4,0.806,0.005128,3,35.58,MODERATE,LSTM_FOOD_NAME
2026-08-18,55,Miik,Dairy,5.0,44.31,310.14,0.1129,0.005729,1,44.59,MODERATE,CATEGORY_HISTORY
2026-08-18,56,Bread,Bakery,10.0,43.32,303.26,0.2308,0.005431,2,44.58,MODERATE,LSTM_FOOD_NAME
2026-08-18,57,Curd,Dairy,50.0,35.5,248.51,1.4084,0.007292,1,44.61,MODERATE,LSTM_FOOD_NAME
2026-08-18,58,chapati,Cooked Food,50.0,59.12,413.87,0.8457,0.003115,4,35.55,MODERATE,LSTM_FOOD_NAME
2026-08-18,59,Dal,Cooked Food,20.0,33.68,235.73,0.5939,0.00555,4,35.58,MODERATE,LSTM_FOOD_NAME
2026-08-18,60,Vegetable Curry,Vegetables,10.0,37.44,262.05,0.2671,0.006263,4,35.59,MODERATE,LSTM_FOOD_NAME
2026-08-18,61,pulao,Cooked Food,80.0,41.55,290.85,1.9254,0.004377,3,39.57,MODERATE,LSTM_FOOD_NAME
2026-08-18,62,pulao,Cooked Food,50.0,41.55,290.85,1.2034,0.004377,4,35.57,MODERATE,LSTM_FOOD_NAME
2026-08-18,63,chapati,Bakery,30.0,59.12,413.87,0.5074,0.003115,4,35.55,MODERATE,LSTM_FOOD_NAME
2026-08-18,64,Curd,Dairy,50.0,35.5,248.51,1.4084,0.007292,3,35.61,MODERATE,LSTM_FOOD_NAME
2026-08-18,65,Bread,Bakery,10.0,43.32,303.26,0.2308,0.005431,2,44.58,MODERATE,LSTM_FOOD_NAME
