date,food_id,food_name,category,quantity_sold,day_of_week,day_of_month,month,week_of_year,is_weekend,rolling_7_day,rolling_14_day
2025-11-20,1,Rice,Cooked Food,42,3,20,11,47,0,47.0,48.857142857142854
2025-11-21,1,Rice,Cooked Food,44,4,21,11,47,0,47.285714285714285,49.142857142857146
2025-11-22,1,Rice,Cooked Food,49,5,22,11,47,1,46.0,48.214285714285715
2025-11-23,1,Rice,Cooked Food,56,6,23,11,47,1,44.285714285714285,48.214285714285715
2025-11-24,1,Rice,Cooked Food,52,0,24,11,48,0,46.0,48.357142857142854
2025-11-25,1,Rice,Cooked Food,49,1,25,11,48,0,47.42857142857143,48.357142857142854
2025-11-26,1,Rice,Cooked Food,45,2,26,11,48,0,48.142857142857146,47.785714285714285
2025-11-27,1,Rice,Cooked Food,42,3,27,11,48,0,48.142857142857146,47.57142857142857
2025-11-28,1,Rice,Cooked Food,53,4,28,11,48,0,49.42857142857143,48.357142857142854
2025-11-29,1,Rice,Cooked Food,57,5,29,11,48,1,50.57142857142857,48.285714285714285
2025-11-30,1,Rice,Cooked Food,63,6,30,11,48,1,51.57142857142857,47.92857142857143
2025-12-01,1,Rice,Cooked Food,42,0,1,12,49,0,50.142857142857146,48.07142857142857
2025-12-02,1,Rice,Cooked Food,48,1,2,12,49,0,50.0,48.714285714285715
2025-12-03,1,Rice,Cooked Food,44,2,3,12,49,0,49.857142857142854,49.0
2025-12-04,1,Rice,Cooked Food,37,3,4,12,49,0,49.142857142857146,48.642857142857146
2025-12-05,1,Rice,Cooked Food,51,4,5,12,49,0,48.857142857142854,49.142857142857146
2025-12-06,1,Rice,Cooked Food,45,5,6,12,49,1,47.142857142857146,48.857142857142854
2025-12-07,1,Rice,Cooked Food,53,6,7,12,49,1,45.714285714285715,48.642857142857146
2025-12-08,1,Rice,Cooked Food,52,0,8,12,50,0,47.142857142857146,48.642857142857146
2025-12-09,1,Rice,Cooked Food,49,1,9,12,50,0,47.285714285714285,48.642857142857146
2025-12-10,1,Rice,Cooked Food,53,2,10,12,50,0,48.57142857142857,49.214285714285715
2025-12-11,1,Rice,Cooked Food,44,3,11,12,50,0,49.57142857142857,49.357142857142854
2025-12-12,1,Rice,Cooked Food,37,4,12,12,50,0,47.57142857142857,48.214285714285715
2025-12-13,1,Rice,Cooked Food,56,5,13,12,50,1,49.142857142857146,48.142857142857146
2025-12-14,1,Rice,Cooked Food,60,6,14,12,50,1,50.142857142857146,47.92857142857143
2025-12-15,1,Rice,Cooked Food,47,0,15,12,51,0,49.42857142857143,48.285714285714285
2025-12-16,1,Rice,Cooked Food,50,1,16,12,51,0,49.57142857142857,48.42857142857143
2025-12-17,1,Rice,Cooked Food,49,2,17,12,51,0,49.0,48.785714285714285
2025-12-18,1,Rice,Cooked Food,47,3,18,12,51,0,49.42857142857143,49.5
2025-12-19,1,Rice,Cooked Food,51,4,19,12,51,0,51.42857142857143,49.5
2025-12-20,1,Rice,Cooked Food,48,5,20,12,51,1,50.285714285714285,49.714285714285715
2025-12-21,1,Rice,Cooked Food,59,6,21,12,51,1,50.142857142857146,50.142857142857146
2025-12-22,1,Rice,Cooked Food,46,0,22,12,52,0,50.0,49.714285714285715
2025-12-23,1,Rice,Cooked Food,48,1,23,12,52,0,49.714285714285715,49.642857142857146
2025-12-24,1,Rice,Cooked Food,43,2,24,12,52,0,48.857142857142854,48.92857142857143
2025-12-25,1,Rice,Cooked Food,36,3,25,12,52,0,47.285714285714285,48.357142857142854
2025-12-26,1,Rice,Cooked Food,39,4,26,12,52,0,45.57142857142857,48.5
2025-12-27,1,Rice,Cooked Food,44,5,27,12,52,1,45.0,47.642857142857146
2025-12-28,1,Rice,Cooked Food,52,6,28,12,52,1,44.0,47.07142857142857
2025-12-29,1,Rice,Cooked Food,56,0,29,12,1,0,45.42857142857143,47.714285714285715
2025-12-30,1,Rice,Cooked Food,39,1,30,12,1,0,44.142857142857146,46.92857142857143
2025-12-31,1,Rice,Cooked Food,50,2,31,12,1,0,45.142857142857146,47.0
2026-01-01,1,Rice,Cooked Food,49,3,1,1,1,0,47.0,47.142857142857146
2026-01-02,1,Rice,Cooked Food,47,4,2,1,1,0,48.142857142857146,46.857142857142854
2026-01-03,1,Rice,Cooked Food,44,5,3,1,1,1,48.142857142857146,46.57142857142857
2026-01-04,1,Rice,Cooked Food,70,6,4,1,1,1,50.714285714285715,47.357142857142854
2026-01-05,1,Rice,Cooked Food,55,0,5,1,2,0,50.57142857142857,48.0
2026-01-06,1,Rice,Cooked Food,42,1,6,1,2,0,51.0,47.57142857142857
2026-01-07,1,Rice,Cooked Food,38,2,7,1,2,0,49.285714285714285,47.214285714285715
2026-01-08,1,Rice,Cooked Food,37,3,8,1,2,0,47.57142857142857,47.285714285714285
2026-01-09,1,Rice,Cooked Food,42,4,9,1,2,0,46.857142857142854,47.5
2026-01-10,1,Rice,Cooked Food,63,5,10,1,2,1,49.57142857142857,48.857142857142854
2026-01-11,1,Rice,Cooked Food,66,6,11,1,2,1,49.0,49.857142857142854
2026-01-12,1,Rice,Cooked Food,58,0,12,1,3,0,49.42857142857143,50.0
2026-01-13,1,Rice,Cooked Food,51,1,13,1,3,0,50.714285714285715,50.857142857142854
2026-01-14,1,Rice,Cooked Food,50,2,14,1,3,0,52.42857142857143,50.857142857142854
2026-01-15,1,Rice,Cooked Food,43,3,15,1,3,0,53.285714285714285,50.42857142857143
2026-01-16,1,Rice,Cooked Food,51,4,16,1,3,0,54.57142857142857,50.714285714285715
2026-01-17,1,Rice,Cooked Food,64,5,17,1,3,1,54.714285714285715,52.142857142857146
2026-01-18,1,Rice,Cooked Food,52,6,18,1,3,1,52.714285714285715,50.857142857142854
2026-01-19,1,Rice,Cooked Food,48,0,19,1,4,0,51.285714285714285,50.357142857142854
2026-01-20,1,Rice,Cooked Food,40,1,20,1,4,0,49.714285714285715,50.214285714285715
2026-01-21,1,Rice,Cooked Food,38,2,21,1,4,0,48.0,50.214285714285715
2026-01-22,1,Rice,Cooked Food,37,3,22,1,4,0,47.142857142857146,50.214285714285715
2026-01-23,1,Rice,Cooked Food,41,4,23,1,4,0,45.714285714285715,50.142857142857146
2026-01-24,1,Rice,Cooked Food,43,5,24,1,4,1,42.714285714285715,48.714285714285715
2026-01-25,1,Rice,Cooked Food,66,6,25,1,4,1,44.714285714285715,48.714285714285715
2026-01-26,1,Rice,Cooked Food,47,0,26,1,5,0,44.57142857142857,47.92857142857143
2026-01-27,1,Rice,Cooked Food,49,1,27,1,5,0,45.857142857142854,47.785714285714285
2026-01-28,1,Rice,Cooked Food,39,2,28,1,5,0,46.0,47.0
2026-01-29,1,Rice,Cooked Food,44,3,29,1,5,0,47.0,47.07142857142857
2026-01-30,1,Rice,Cooked Food,45,4,30,1,5,0,47.57142857142857,46.642857142857146
2026-01-31,1,Rice,Cooked Food,45,5,31,1,5,1,47.857142857142854,45.285714285714285
2026-02-01,1,Rice,Cooked Food,62,6,1,2,5,1,47.285714285714285,46.0
2026-02-02,1,Rice,Cooked Food,50,0,2,2,6,0,47.714285714285715,46.142857142857146
2026-02-03,1,Rice,Cooked Food,42,1,3,2,6,0,46.714285714285715,46.285714285714285
2026-02-04,1,Rice,Cooked Food,37,2,4,2,6,0,46.42857142857143,46.214285714285715
2026-02-05,1,Rice,Cooked Food,50,3,5,2,6,0,47.285714285714285,47.142857142857146
2026-02-06,1,Rice,Cooked Food,48,4,6,2,6,0,47.714285714285715,47.642857142857146
2026-02-07,1,Rice,Cooked Food,48,5,7,2,6,1,48.142857142857146,48.0
2026-02-08,1,Rice,Cooked Food,60,6,8,2,6,1,47.857142857142854,47.57142857142857
2026-02-09,1,Rice,Cooked Food,57,0,9,2,7,0,48.857142857142854,48.285714285714285
2026-02-10,1,Rice,Cooked Food,45,1,10,2,7,0,49.285714285714285,48.0
2026-02-11,1,Rice,Cooked Food,38,2,11,2,7,0,49.42857142857143,47.92857142857143
2026-02-12,1,Rice,Cooked Food,45,3,12,2,7,0,48.714285714285715,48.0
2026-02-13,1,Rice,Cooked Food,50,4,13,2,7,0,49.0,48.357142857142854
2026-02-14,1,Rice,Cooked Food,60,5,14,2,7,1,50.714285714285715,49.42857142857143
2026-02-15,1,Rice,Cooked Food,53,6,15,2,7,1,49.714285714285715,48.785714285714285
2026-02-16,1,Rice,Cooked Food,44,0,16,2,8,0,47.857142857142854,48.357142857142854
2026-02-17,1,Rice,Cooked Food,52,1,17,2,8,0,48.857142857142854,49.07142857142857
2026-02-18,1,Rice,Cooked Food,36,2,18,2,8,0,48.57142857142857,49.0
2026-02-19,1,Rice,Cooked Food,44,3,19,2,8,0,48.42857142857143,48.57142857142857
2026-02-20,1,Rice,Cooked Food,37,4,20,2,8,0,46.57142857142857,47.785714285714285
2026-02-21,1,Rice,Cooked Food,59,5,21,2,8,1,46.42857142857143,48.57142857142857
2026-02-22,1,Rice,Cooked Food,56,6,22,2,8,1,46.857142857142854,48.285714285714285
2026-02-23,1,Rice,Cooked Food,42,0,23,2,9,0,46.57142857142857,47.214285714285715
2026-02-24,1,Rice,Cooked Food,41,1,24,2,9,0,45.0,46.92857142857143
2026-02-25,1,Rice,Cooked Food,44,2,25,2,9,0,46.142857142857146,47.357142857142854
2026-02-26,1,Rice,Cooked Food,49,3,26,2,9,0,46.857142857142854,47.642857142857146
2026-02-27,1,Rice,Cooked Food,45,4,27,2,9,0,48.0,47.285714285714285
2026-02-28,1,Rice,Cooked Food,60,5,28,2,9,1,48.142857142857146,47.285714285714285
2026-03-01,1,Rice,Cooked Food,53,6,1,3,9,1,47.714285714285715,47.285714285714285
2026-03-02,1,Rice,Cooked Food,42,0,2,3,10,0,47.714285714285715,47.142857142857146
2026-03-03,1,Rice,Cooked Food,41,1,3,3,10,0,47.714285714285715,46.357142857142854
2026-03-04,1,Rice,Cooked Food,48,2,4,3,10,0,48.285714285714285,47.214285714285715
2026-03-05,1,Rice,Cooked Food,46,3,5,3,10,0,47.857142857142854,47.357142857142854
2026-03-06,1,Rice,Cooked Food,53,4,6,3,10,0,49.0,48.5
2026-03-07,1,Rice,Cooked Food,63,5,7,3,10,1,49.42857142857143,48.785714285714285
2026-03-08,1,Rice,Cooked Food,62,6,8,3,10,1,50.714285714285715,49.214285714285715
2026-03-09,1,Rice,Cooked Food,52,0,9,3,11,0,52.142857142857146,49.92857142857143
2026-03-10,1,Rice,Cooked Food,41,1,10,3,11,0,52.142857142857146,49.92857142857143
2026-03-11,1,Rice,Cooked Food,40,2,11,3,11,0,51.0,49.642857142857146
2026-03-12,1,Rice,Cooked Food,41,3,12,3,11,0,50.285714285714285,49.07142857142857
2026-03-13,1,Rice,Cooked Food,45,4,13,3,11,0,49.142857142857146,49.07142857142857
2026-03-14,1,Rice,Cooked Food,54,5,14,3,11,1,47.857142857142854,48.642857142857146
2026-03-15,1,Rice,Cooked Food,63,6,15,3,11,1,48.0,49.357142857142854
2026-03-16,1,Rice,Cooked Food,45,0,16,3,12,0,47.0,49.57142857142857
2026-03-17,1,Rice,Cooked Food,52,1,17,3,12,0,48.57142857142857,50.357142857142854
2026-03-18,1,Rice,Cooked Food,52,2,18,3,12,0,50.285714285714285,50.642857142857146
2026-03-19,1,Rice,Cooked Food,41,3,19,3,12,0,50.285714285714285,50.285714285714285
2026-03-20,1,Rice,Cooked Food,38,4,20,3,12,0,49.285714285714285,49.214285714285715
2026-03-21,1,Rice,Cooked Food,59,5,21,3,12,1,50.0,48.92857142857143
2026-03-22,1,Rice,Cooked Food,54,6,22,3,12,1,48.714285714285715,48.357142857142854
2026-03-23,1,Rice,Cooked Food,45,0,23,3,13,0,48.714285714285715,47.857142857142854
2026-03-24,1,Rice,Cooked Food,43,1,24,3,13,0,47.42857142857143,48.0
2026-03-25,1,Rice,Cooked Food,47,2,25,3,13,0,46.714285714285715,48.5
2026-03-26,1,Rice,Cooked Food,44,3,26,3,13,0,47.142857142857146,48.714285714285715
2026-03-27,1,Rice,Cooked Food,44,4,27,3,13,0,48.0,48.642857142857146
2026-03-28,1,Rice,Cooked Food,46,5,28,3,13,1,46.142857142857146,48.07142857142857
2026-03-29,1,Rice,Cooked Food,69,6,29,3,13,1,48.285714285714285,48.5
2026-03-30,1,Rice,Cooked Food,47,0,30,3,14,0,48.57142857142857,48.642857142857146
2026-03-31,1,Rice,Cooked Food,52,1,31,3,14,0,49.857142857142854,48.642857142857146
2026-04-01,1,Rice,Cooked Food,47,2,1,4,14,0,49.857142857142854,48.285714285714285
2026-04-02,1,Rice,Cooked Food,47,3,2,4,14,0,50.285714285714285,48.714285714285715
2026-04-03,1,Rice,Cooked Food,40,4,3,4,14,0,49.714285714285715,48.857142857142854
2026-04-04,1,Rice,Cooked Food,48,5,4,4,14,1,50.0,48.07142857142857
2026-04-05,1,Rice,Cooked Food,68,6,5,4,14,1,49.857142857142854,49.07142857142857
2026-04-06,1,Rice,Cooked Food,40,0,6,4,15,0,48.857142857142854,48.714285714285715
2026-04-07,1,Rice,Cooked Food,41,1,7,4,15,0,47.285714285714285,48.57142857142857
2026-04-08,1,Rice,Cooked Food,38,2,8,4,15,0,46.0,47.92857142857143
2026-04-09,1,Rice,Cooked Food,47,3,9,4,15,0,46.0,48.142857142857146
2026-04-10,1,Rice,Cooked Food,43,4,10,4,15,0,46.42857142857143,48.07142857142857
2026-04-11,1,Rice,Cooked Food,60,5,11,4,15,1,48.142857142857146,49.07142857142857
2026-04-12,1,Rice,Cooked Food,65,6,12,4,15,1,47.714285714285715,48.785714285714285
2026-04-13,1,Rice,Cooked Food,51,0,13,4,16,0,49.285714285714285,49.07142857142857
2026-04-14,1,Rice,Cooked Food,41,1,14,4,16,0,49.285714285714285,48.285714285714285
2026-04-15,1,Rice,Cooked Food,40,2,15,4,16,0,49.57142857142857,47.785714285714285
2026-04-16,1,Rice,Cooked Food,42,3,16,4,16,0,48.857142857142854,47.42857142857143
2026-04-17,1,Rice,Cooked Food,52,4,17,4,16,0,50.142857142857146,48.285714285714285
2026-04-18,1,Rice,Cooked Food,55,5,18,4,16,1,49.42857142857143,48.785714285714285
2026-04-19,1,Rice,Cooked Food,66,6,19,4,16,1,49.57142857142857,48.642857142857146
2026-04-20,1,Rice,Cooked Food,42,0,20,4,17,0,48.285714285714285,48.785714285714285
2026-04-21,1,Rice,Cooked Food,51,1,21,4,17,0,49.714285714285715,49.5
2026-04-22,1,Rice,Cooked Food,36,2,22,4,17,0,49.142857142857146,49.357142857142854
2026-04-23,1,Rice,Cooked Food,36,3,23,4,17,0,48.285714285714285,48.57142857142857
2026-04-24,1,Rice,Cooked Food,48,4,24,4,17,0,47.714285714285715,48.92857142857143
2026-04-25,1,Rice,Cooked Food,60,5,25,4,17,1,48.42857142857143,48.92857142857143
2026-04-26,1,Rice,Cooked Food,66,6,26,4,17,1,48.42857142857143,49.0
2026-04-27,1,Rice,Cooked Food,40,0,27,4,18,0,48.142857142857146,48.214285714285715
2026-04-28,1,Rice,Cooked Food,37,1,28,4,18,0,46.142857142857146,47.92857142857143
2026-04-29,1,Rice,Cooked Food,37,2,29,4,18,0,46.285714285714285,47.714285714285715
2026-04-30,1,Rice,Cooked Food,46,3,30,4,18,0,47.714285714285715,48.0
2026-05-01,1,Rice,Cooked Food,43,4,1,5,18,0,47.0,47.357142857142854
2026-05-02,1,Rice,Cooked Food,64,5,2,5,18,1,47.57142857142857,48.0
2026-05-03,1,Rice,Cooked Food,68,6,3,5,18,1,47.857142857142854,48.142857142857146
2026-05-04,1,Rice,Cooked Food,53,0,4,5,19,0,49.714285714285715,48.92857142857143
2026-05-05,1,Rice,Cooked Food,48,1,5,5,19,0,51.285714285714285,48.714285714285715
2026-05-06,1,Rice,Cooked Food,40,2,6,5,19,0,51.714285714285715,49.0
2026-05-07,1,Rice,Cooked Food,37,3,7,5,19,0,50.42857142857143,49.07142857142857
2026-05-08,1,Rice,Cooked Food,52,4,8,5,19,0,51.714285714285715,49.357142857142854
2026-05-09,1,Rice,Cooked Food,44,5,9,5,19,1,48.857142857142854,48.214285714285715
2026-05-10,1,Rice,Cooked Food,64,6,10,5,19,1,48.285714285714285,48.07142857142857
2026-05-11,1,Rice,Cooked Food,46,0,11,5,20,0,47.285714285714285,48.5
2026-05-12,1,Rice,Cooked Food,39,1,12,5,20,0,46.0,48.642857142857146
2026-05-13,1,Rice,Cooked Food,40,2,13,5,20,0,46.0,48.857142857142854
2026-05-14,1,Rice,Cooked Food,48,3,14,5,20,0,47.57142857142857,49.0
2026-05-15,1,Rice,Cooked Food,50,4,15,5,20,0,47.285714285714285,49.5
2026-05-16,1,Rice,Cooked Food,60,5,16,5,20,1,49.57142857142857,49.214285714285715
2026-05-17,1,Rice,Cooked Food,63,6,17,5,20,1,49.42857142857143,48.857142857142854
2026-05-18,1,Rice,Cooked Food,52,0,18,5,21,0,50.285714285714285,48.785714285714285
2026-05-19,1,Rice,Cooked Food,53,1,19,5,21,0,52.285714285714285,49.142857142857146
2026-05-20,1,Rice,Cooked Food,44,2,20,5,21,0,52.857142857142854,49.42857142857143
2026-05-21,1,Rice,Cooked Food,43,3,21,5,21,0,52.142857142857146,49.857142857142854
2026-05-22,1,Rice,Cooked Food,44,4,22,5,21,0,51.285714285714285,49.285714285714285
2026-05-23,1,Rice,Cooked Food,61,5,23,5,21,1,51.42857142857143,50.5
2026-05-24,1,Rice,Cooked Food,63,6,24,5,21,1,51.42857142857143,50.42857142857143
