date,food_id,food_name,category,quantity_sold
2025-08-10,8,Pulao,Prepared Food,47
2025-08-11,1,Rice,Grains,50
2025-08-11,2,Chapati,Bakery,54
2025-08-11,3,Vegetable Curry,Cooked Food,39
2025-08-11,4,Dal,Cooked Food,38
2025-08-11,5,Bread,Bakery,42
2025-08-11,6,Milk,Dairy,48
2025-08-11,7,Curd,Dairy,42
2025-08-11,8,Pulao,Prepared Food,41
2025-08-12,1,Rice,Grains,37
2025-08-12,2,Chapati,Bakery,45
2025-08-12,3,Vegetable Curry,Cooked Food,29
2025-08-12,4,Dal,Cooked Food,31
2025-08-12,5,Bread,Bakery,44
2025-08-12,6,Milk,Dairy,48
2025-08-12,7,Curd,Dairy,26
2025-08-12,8,Pulao,Prepared Food,36
2025-08-13,1,Rice,Grains,53
2025-08-13,2,Chapati,Bakery,55
2025-08-13,3,Vegetable Curry,Cooked Food,41
2025-08-13,4,Dal,Cooked Food,34
2025-08-13,5,Bread,Bakery,32
2025-08-13,6,Milk,Dairy,54
2025-08-13,7,Curd,Dairy,34
2025-08-13,8,Pulao,Prepared Food,38
2025-08-14,1,Rice,Grains,40
2025-08-14,2,Chapati,Bakery,58
2025-08-14,3,Vegetable Curry,Cooked Food,29
2025-08-14,4,Dal,Cooked Food,29
2025-08-14,5,Bread,Bakery,39
2025-08-14,6,Milk,Dairy,59
2025-08-14,7,Curd,Dairy,36
2025-08-14,8,Pulao,Prepared Food,34
2025-08-15,1,Rice,Grains,45
2025-08-15,2,Chapati,Bakery,47
2025-08-15,3,Vegetable Curry,Cooked Food,40
2025-08-15,4,Dal,Cooked Food,34
2025-08-15,5,Bread,Bakery,36
2025-08-15,6,Milk,Dairy,52
2025-08-15,7,Curd,Dairy,33
2025-08-15,8,Pulao,Prepared Food,32
2025-08-16,1,Rice,Grains,59
2025-08-16,2,Chapati,Bakery,67
2025-08-16,3,Vegetable Curry,Cooked Food,46
2025-08-16,4,Dal,Cooked Food,36
2025-08-16,5,Bread,Bakery,38
2025-08-16,6,Milk,Dairy,55
2025-08-16,7,Curd,Dairy,31
2025-08-16,8,Pulao,Prepared Food,53
2025-08-17,1,Rice,Grains,71
2025-08-17,2,Chapati,Bakery,85
2025-08-17,3,Vegetable Curry,Cooked Food,44
2025-08-17,4,Dal,Cooked Food,34
2025-08-17,5,Bread,Bakery,63
2025-08-17,6,Milk,Dairy,81
2025-08-17,7,Curd,Dairy,36
2025-08-17,8,Pulao,Prepared Food,52
2025-08-18,1,Rice,Grains,40
2025-08-18,2,Chapati,Bakery,66
2025-08-18,3,Vegetable Curry,Cooked Food,42
2025-08-18,4,Dal,Cooked Food,28
2025-08-18,5,Bread,Bakery,43
2025-08-18,6,Milk,Dairy,56
2025-08-18,7,Curd,Dairy,31
2025-08-18,8,Pulao,Prepared Food,48
2025-08-19,1,Rice,Grains,43
2025-08-19,2,Chapati,Bakery,48
2025-08-19,3,Vegetable Curry,Cooked Food,35
2025-08-19,4,Dal,Cooked Food,32
2025-08-19,5,Bread,Bakery,35
2025-08-19,6,Milk,Dairy,46
2025-08-19,7,Curd,Dairy,38
2025-08-19,8,Pulao,Prepared Food,40
2025-08-20,1,Rice,Grains,43
2025-08-20,2,Chapati,Bakery,55
2025-08-20,3,Vegetable Curry,Cooked Food,29
2025-08-20,4,Dal,Cooked Food,26
2025-08-20,5,Bread,Bakery,37
2025-08-20,6,Milk,Dairy,51
2025-08-20,7,Curd,Dairy,28
2025-08-20,8,Pulao,Prepared Food,33
2025-08-21,1,Rice,Grains,37
2025-08-21,2,Chapati,Bakery,57
2025-08-21,3,Vegetable Curry,Cooked Food,31
2025-08-21,4,Dal,Cooked Food,34
2025-08-21,5,Bread,Bakery,45
2025-08-21,6,Milk,Dairy,41
2025-08-21,7,Curd,Dairy,28
2025-08-21,8,Pulao,Prepared Food,40
2025-08-22,1,Rice,Grains,39
2025-08-22,2,Chapati,Bakery,46
2025-08-22,3,Vegetable Curry,Cooked Food,41
2025-08-22,4,Dal,Cooked Food,30
2025-08-22,5,Bread,Bakery,39
2025-08-22,6,Milk,Dairy,55
2025-08-22,7,Curd,Dairy,35
2025-08-22,8,Pulao,Prepared Food,33
2025-08-23,1,Rice,Grains,45
2025-08-23,2,Chapati,Bakery,64
2025-08-23,3,Vegetable Curry,Cooked Food,40
2025-08-23,4,Dal,Cooked Food,35
2025-08-23,5,Bread,Bakery,52
2025-08-23,6,Milk,Dairy,64
2025-08-23,7,Curd,Dairy,45
2025-08-23,8,Pulao,Prepared Food,38
2025-08-24,1,Rice,Grains,59
2025-08-24,2,Chapati,Bakery,71
2025-08-24,3,Vegetable Curry,Cooked Food,55
2025-08-24,4,Dal,Cooked Food,37
2025-08-24,5,Bread,Bakery,48
2025-08-24,6,Milk,Dairy,67
2025-08-24,7,Curd,Dairy,42
2025-08-24,8,Pulao,Prepared Food,47
2025-08-25,1,Rice,Grains,44
2025-08-25,2,Chapati,Bakery,70
2025-08-25,3,Vegetable Curry,Cooked Food,37
2025-08-25,4,Dal,Cooked Food,37
2025-08-25,5,Bread,Bakery,44
2025-08-25,6,Milk,Dairy,45
2025-08-25,7,Curd,Dairy,42
2025-08-25,8,Pulao,Prepared Food,47
2025-08-26,1,Rice,Grains,53
2025-08-26,2,Chapati,Bakery,64
2025-08-26,3,Vegetable Curry,Cooked Food,39
2025-08-26,4,Dal,Cooked Food,25
2025-08-26,5,Bread,Bakery,39
2025-08-26,6,Milk,Dairy,44
2025-08-26,7,Curd,Dairy,30
2025-08-26,8,Pulao,Prepared Food,31
2025-08-27,1,Rice,Grains,42
2025-08-27,2,Chapati,Bakery,65
2025-08-27,3,Vegetable Curry,Cooked Food,31
2025-08-27,4,Dal,Cooked Food,33
2025-08-27,5,Bread,Bakery,39
2025-08-27,6,Milk,Dairy,48
2025-08-27,7,Curd,Dairy,37
2025-08-27,8,Pulao,Prepared Food,45
2025-08-28,1,Rice,Grains,46
2025-08-28,2,Chapati,Bakery,59
2025-08-28,3,Vegetable Curry,Cooked Food,30
2025-08-28,4,Dal,Cooked Food,27
2025-08-28,5,Bread,Bakery,47
2025-08-28,6,Milk,Dairy,51
2025-08-28,7,Curd,Dairy,32
2025-08-28,8,Pulao,Prepared Food,41
2025-08-29,1,Rice,Grains,37
2025-08-29,2,Chapati,Bakery,56
2025-08-29,3,Vegetable Curry,Cooked Food,35
2025-08-29,4,Dal,Cooked Food,34
2025-08-29,5,Bread,Bakery,34
2025-08-29,6,Milk,Dairy,59
2025-08-29,7,Curd,Dairy,26
2025-08-29,8,Pulao,Prepared Food,33
2025-08-30,1,Rice,Grains,56
2025-08-30,2,Chapati,Bakery,70
2025-08-30,3,Vegetable Curry,Cooked Food,37
2025-08-30,4,Dal,Cooked Food,30
2025-08-30,5,Bread,Bakery,55
2025-08-30,6,Milk,Dairy,53
2025-08-30,7,Curd,Dairy,39
2025-08-30,8,Pulao,Prepared Food,47
2025-08-31,1,Rice,Grains,60
2025-08-31,2,Chapati,Bakery,78
2025-08-31,3,Vegetable Curry,Cooked Food,48
2025-08-31,4,Dal,Cooked Food,48
2025-08-31,5,Bread,Bakery,48
2025-08-31,6,Milk,Dairy,74
2025-08-31,7,Curd,Dairy,39
2025-08-31,8,Pulao,Prepared Food,50
2025-09-01,1,Rice,Grains,52
2025-09-01,2,Chapati,Bakery,55
2025-09-01,3,Vegetable Curry,Cooked Food,35
2025-09-01,4,Dal,Cooked Food,36
2025-09-01,5,Bread,Bakery,36
2025-09-01,6,Milk,Dairy,54
2025-09-01,7,Curd,Dairy,42
2025-09-01,8,Pulao,Prepared Food,50
2025-09-02,1,Rice,Grains,37
2025-09-02,2,Chapati,Bakery,48
2025-09-02,3,Vegetable Curry,Cooked Food,31
2025-09-02,4,Dal,Cooked Food,35
2025-09-02,5,Bread,Bakery,46
2025-09-02,6,Milk,Dairy,57
2025-09-02,7,Curd,Dairy,30
2025-09-02,8,Pulao,Prepared Food,32
2025-09-03,1,Rice,Grains,51
2025-09-03,2,Chapati,Bakery,59
2025-09-03,3,Vegetable Curry,Cooked Food,36
2025-09-03,4,Dal,Cooked Food,35
2025-09-03,5,Bread,Bakery,42
2025-09-03,6,Milk,Dairy,40
2025-09-03,7,Curd,Dairy,36
2025-09-03,8,Pulao,Prepared Food,34
2025-09-04,1,Rice,Grains,47
2025-09-04,2,Chapati,Bakery,64
2025-09-04,3,Vegetable Curry,Cooked Food,29
2025-09-04,4,Dal,Cooked Food,25
2025-09-04,5,Bread,Bakery,33
2025-09-04,6,Milk,Dairy,51
2025-09-04,7,Curd,Dairy,29
2025-09-04,8,Pulao,Prepared Food,39
2025-09-05,1,Rice,Grains,48
2025-09-05,2,Chapati,Bakery,48
2025-09-05,3,Vegetable Curry,Cooked Food,36
2025-09-05,4,Dal,Cooked Food,27
2025-09-05,5,Bread,Bakery,39
2025-09-05,6,Milk,Dairy,58
2025-09-05,7,Curd,Dairy,36
2025-09-05,8,Pulao,Prepared Food,31
2025-09-06,1,Rice,Grains,52
2025-09-06,2,Chapati,Bakery,60
2025-09-06,3,Vegetable Curry,Cooked Food,33
2025-09-06,4,Dal,Cooked Food,39
2025-09-06,5,Bread,Bakery,50
2025-09-06,6,Milk,Dairy,54
2025-09-06,7,Curd,Dairy,42
2025-09-06,8,Pulao,Prepared Food,46
2025-09-07,1,Rice,Grains,60
2025-09-07,2,Chapati,Bakery,61
2025-09-07,3,Vegetable Curry,Cooked Food,40
2025-09-07,4,Dal,Cooked Food,47
2025-09-07,5,Bread,Bakery,64
2025-09-07,6,Milk,Dairy,70
2025-09-07,7,Curd,Dairy,50
2025-09-07,8,Pulao,Prepared Food,54
2025-09-08,1,Rice,Grains,42
2025-09-08,2,Chapati,Bakery,51
2025-09-08,3,Vegetable Curry,Cooked Food,35
2025-09-08,4,Dal,Cooked Food,38
2025-09-08,5,Bread,Bakery,49
2025-09-08,6,Milk,Dairy,62
2025-09-08,7,Curd,Dairy,40
2025-09-08,8,Pulao,Prepared Food,36
2025-09-09,1,Rice,Grains,40
2025-09-09,2,Chapati,Bakery,46
2025-09-09,3,Vegetable Curry,Cooked Food,38
2025-09-09,4,Dal,Cooked Food,34
2025-09-09,5,Bread,Bakery,38
2025-09-09,6,Milk,Dairy,52
2025-09-09,7,Curd,Dairy,27
2025-09-09,8,Pulao,Prepared Food,44
2025-09-10,1,Rice,Grains,51
2025-09-10,2,Chapati,Bakery,65
2025-09-10,3,Vegetable Curry,Cooked Food,39
2025-09-10,4,Dal,Cooked Food,34
2025-09-10,5,Bread,Bakery,32
2025-09-10,6,Milk,Dairy,54
2025-09-10,7,Curd,Dairy,29
2025-09-10,8,Pulao,Prepared Food,44
2025-09-11,1,Rice,Grains,50
2025-09-11,2,Chapati,Bakery,63
2025-09-11,3,Vegetable Curry,Cooked Food,39
2025-09-11,4,Dal,Cooked Food,27
2025-09-11,5,Bread,Bakery,44
2025-09-11,6,Milk,Dairy,42
2025-09-11,7,Curd,Dairy,36
2025-09-11,8,Pulao,Prepared Food,43
2025-09-12,1,Rice,Grains,40
2025-09-12,2,Chapati,Bakery,61
2025-09-12,3,Vegetable Curry,Cooked Food,34
2025-09-12,4,Dal,Cooked Food,27
2025-09-12,5,Bread,Bakery,44
2025-09-12,6,Milk,Dairy,44
2025-09-12,7,Curd,Dairy,25
2025-09-12,8,Pulao,Prepared Food,33
2025-09-13,1,Rice,Grains,50
2025-09-13,2,Chapati,Bakery,75
2025-09-13,3,Vegetable Curry,Cooked Food,49
2025-09-13,4,Dal,Cooked Food,32
2025-09-13,5,Bread,Bakery,50
2025-09-13,6,Milk,Dairy,57
2025-09-13,7,Curd,Dairy,45
2025-09-13,8,Pulao,Prepared Food,46
2025-09-14,1,Rice,Grains,73
2025-09-14,2,Chapati,Bakery,64
2025-09-14,3,Vegetable Curry,Cooked Food,57
2025-09-14,4,Dal,Cooked Food,36
2025-09-14,5,Bread,Bakery,65
2025-09-14,6,Milk,Dairy,62
2025-09-14,7,Curd,Dairy,37
2025-09-14,8,Pulao,Prepared Food,51
2025-09-15,1,Rice,Grains,54
2025-09-15,2,Chapati,Bakery,55
2025-09-15,3,Vegetable Curry,Cooked Food,40
2025-09-15,4,Dal,Cooked Food,33
2025-09-15,5,Bread,Bakery,41
2025-09-15,6,Milk,Dairy,56
2025-09-15,7,Curd,Dairy,31
2025-09-15,8,Pulao,Prepared Food,45
2025-09-16,1,Rice,Grains,36
2025-09-16,2,Chapati,Bakery,64
2025-09-16,3,Vegetable Curry,Cooked Food,35
2025-09-16,4,Dal,Cooked Food,32
2025-09-16,5,Bread,Bakery,43
2025-09-16,6,Milk,Dairy,53
2025-09-16,7,Curd,Dairy,30
2025-09-16,8,Pulao,Prepared Food,31
2025-09-17,1,Rice,Grains,47
2025-09-17,2,Chapati,Bakery,51
2025-09-17,3,Vegetable Curry,Cooked Food,32
2025-09-17,4,Dal,Cooked Food,34
2025-09-17,5,Bread,Bakery,43
2025-09-17,6,Milk,Dairy,46
2025-09-17,7,Curd,Dairy,29
2025-09-17,8,Pulao,Prepared Food,36
2025-09-18,1,Rice,Grains,43
2025-09-18,2,Chapati,Bakery,50
2025-09-18,3,Vegetable Curry,Cooked Food,29
2025-09-18,4,Dal,Cooked Food,29
2025-09-18,5,Bread,Bakery,47
2025-09-18,6,Milk,Dairy,53
2025-09-18,7,Curd,Dairy,37
2025-09-18,8,Pulao,Prepared Food,39
2025-09-19,1,Rice,Grains,41
2025-09-19,2,Chapati,Bakery,56
2025-09-19,3,Vegetable Curry,Cooked Food,28
2025-09-19,4,Dal,Cooked Food,27
2025-09-19,5,Bread,Bakery,38
2025-09-19,6,Milk,Dairy,51
2025-09-19,7,Curd,Dairy,33
2025-09-19,8,Pulao,Prepared Food,37
2025-09-20,1,Rice,Grains,52
2025-09-20,2,Chapati,Bakery,58
2025-09-20,3,Vegetable Curry,Cooked Food,41
2025-09-20,4,Dal,Cooked Food,41
2025-09-20,5,Bread,Bakery,53
2025-09-20,6,Milk,Dairy,52
2025-09-20,7,Curd,Dairy,32
2025-09-20,8,Pulao,Prepared Food,45
2025-09-21,1,Rice,Grains,65
2025-09-21,2,Chapati,Bakery,70
2025-09-21,3,Vegetable Curry,Cooked Food,54
2025-09-21,4,Dal,Cooked Food,45
2025-09-21,5,Bread,Bakery,59
2025-09-21,6,Milk,Dairy,61
2025-09-21,7,Curd,Dairy,38
2025-09-21,8,Pulao,Prepared Food,42
2025-09-22,1,Rice,Grains,44
2025-09-22,2,Chapati,Bakery,59
2025-09-22,3,Vegetable Curry,Cooked Food,43
2025-09-22,4,Dal,Cooked Food,27
2025-09-22,5,Bread,Bakery,42
2025-09-22,6,Milk,Dairy,57
2025-09-22,7,Curd,Dairy,30
2025-09-22,8,Pulao,Prepared Food,45
2025-09-23,1,Rice,Grains,44
2025-09-23,2,Chapati,Bakery,49
2025-09-23,3,Vegetable Curry,Cooked Food,37
2025-09-23,4,Dal,Cooked Food,24
2025-09-23,5,Bread,Bakery,44
2025-09-23,6,Milk,Dairy,55
2025-09-23,7,Curd,Dairy,26
2025-09-23,8,Pulao,Prepared Food,36
2025-09-24,1,Rice,Grains,39
2025-09-24,2,Chapati,Bakery,65
2025-09-24,3,Vegetable Curry,Cooked Food,35
2025-09-24,4,Dal,Cooked Food,24
2025-09-24,5,Bread,Bakery,35
2025-09-24,6,Milk,Dairy,56
2025-09-24,7,Curd,Dairy,31
2025-09-24,8,Pulao,Prepared Food,42
2025-09-25,1,Rice,Grains,48
2025-09-25,2,Chapati,Bakery,65
2025-09-25,3,Vegetable Curry,Cooked Food,36
2025-09-25,4,Dal,Cooked Food,35
2025-09-25,5,Bread,Bakery,46
2025-09-25,6,Milk,Dairy,52
2025-09-25,7,Curd,Dairy,34
2025-09-25,8,Pulao,Prepared Food,38
2025-09-26,1,Rice,Grains,50
2025-09-26,2,Chapati,Bakery,56
2025-09-26,3,Vegetable Curry,Cooked Food,40
2025-09-26,4,Dal,Cooked Food,32
2025-09-26,5,Bread,Bakery,39
2025-09-26,6,Milk,Dairy,45
2025-09-26,7,Curd,Dairy,28
2025-09-26,8,Pulao,Prepared Food,40
2025-09-27,1,Rice,Grains,59
2025-09-27,2,Chapati,Bakery,66
2025-09-27,3,Vegetable Curry,Cooked Food,44
2025-09-27,4,Dal,Cooked Food,32
2025-09-27,5,Bread,Bakery,39
2025-09-27,6,Milk,Dairy,54
2025-09-27,7,Curd,Dairy,34
2025-09-27,8,Pulao,Prepared Food,42
2025-09-28,1,Rice,Grains,63
2025-09-28,2,Chapati,Bakery,64
2025-09-28,3,Vegetable Curry,Cooked Food,43
2025-09-28,4,Dal,Cooked Food,44
2025-09-28,5,Bread,Bakery,59
2025-09-28,6,Milk,Dairy,56
2025-09-28,7,Curd,Dairy,42
2025-09-28,8,Pulao,Prepared Food,53
2025-09-29,1,Rice,Grains,47
2025-09-29,2,Chapati,Bakery,53
2025-09-29,3,Vegetable Curry,Cooked Food,37
2025-09-29,4,Dal,Cooked Food,38
2025-09-29,5,Bread,Bakery,45
2025-09-29,6,Milk,Dairy,59
2025-09-29,7,Curd,Dairy,40
2025-09-29,8,Pulao,Prepared Food,46
2025-09-30,1,Rice,Grains,42
2025-09-30,2,Chapati,Bakery,44
2025-09-30,3,Vegetable Curry,Cooked Food,32
2025-09-30,4,Dal,Cooked Food,33
2025-09-30,5,Bread,Bakery,45
2025-09-30,6,Milk,Dairy,59
2025-09-30,7,Curd,Dairy,30
2025-09-30,8,Pulao,Prepared Food,41
2025-10-01,1,Rice,Grains,45
2025-10-01,2,Chapati,Bakery,57
2025-10-01,3,Vegetable Curry,Cooked Food,31
2025-10-01,4,Dal,Cooked Food,26
2025-10-01,5,Bread,Bakery,38
2025-10-01,6,Milk,Dairy,40
2025-10-01,7,Curd,Dairy,29
2025-10-01,8,Pulao,Prepared Food,40
2025-10-02,1,Rice,Grains,43
2025-10-02,2,Chapati,Bakery,47
2025-10-02,3,Vegetable Curry,Cooked Food,34
2025-10-02,4,Dal,Cooked Food,25
2025-10-02,5,Bread,Bakery,41
2025-10-02,6,Milk,Dairy,40
2025-10-02,7,Curd,Dairy,30
2025-10-02,8,Pulao,Prepared Food,38
2025-10-03,1,Rice,Grains,36
2025-10-03,2,Chapati,Bakery,58
2025-10-03,3,Vegetable Curry,Cooked Food,29
2025-10-03,4,Dal,Cooked Food,29
2025-10-03,5,Bread,Bakery,32
2025-10-03,6,Milk,Dairy,47
2025-10-03,7,Curd,Dairy,28
2025-10-03,8,Pulao,Prepared Food,35
2025-10-04,1,Rice,Grains,59
2025-10-04,2,Chapati,Bakery,62
2025-10-04,3,Vegetable Curry,Cooked Food,46
2025-10-04,4,Dal,Cooked Food,40
2025-10-04,5,Bread,Bakery,43
2025-10-04,6,Milk,Dairy,49
2025-10-04,7,Curd,Dairy,31
2025-10-04,8,Pulao,Prepared Food,46
2025-10-05,1,Rice,Grains,74
2025-10-05,2,Chapati,Bakery,71
2025-10-05,3,Vegetable Curry,Cooked Food,51
2025-10-05,4,Dal,Cooked Food,46
2025-10-05,5,Bread,Bakery,58
2025-10-05,6,Milk,Dairy,76
2025-10-05,7,Curd,Dairy,52
2025-10-05,8,Pulao,Prepared Food,46
2025-10-06,1,Rice,Grains,40
2025-10-06,2,Chapati,Bakery,52
2025-10-06,3,Vegetable Curry,Cooked Food,32
2025-10-06,4,Dal,Cooked Food,35
2025-10-06,5,Bread,Bakery,45
2025-10-06,6,Milk,Dairy,48
2025-10-06,7,Curd,Dairy,38
2025-10-06,8,Pulao,Prepared Food,46
2025-10-07,1,Rice,Grains,39
2025-10-07,2,Chapati,Bakery,57
2025-10-07,3,Vegetable Curry,Cooked Food,38
2025-10-07,4,Dal,Cooked Food,25
2025-10-07,5,Bread,Bakery,45
2025-10-07,6,Milk,Dairy,59
2025-10-07,7,Curd,Dairy,26
2025-10-07,8,Pulao,Prepared Food,30
2025-10-08,1,Rice,Grains,41
2025-10-08,2,Chapati,Bakery,58
2025-10-08,3,Vegetable Curry,Cooked Food,41
2025-10-08,4,Dal,Cooked Food,28
2025-10-08,5,Bread,Bakery,43
2025-10-08,6,Milk,Dairy,41
2025-10-08,7,Curd,Dairy,34
2025-10-08,8,Pulao,Prepared Food,39
2025-10-09,1,Rice,Grains,37
2025-10-09,2,Chapati,Bakery,60
2025-10-09,3,Vegetable Curry,Cooked Food,39
2025-10-09,4,Dal,Cooked Food,31
2025-10-09,5,Bread,Bakery,33
2025-10-09,6,Milk,Dairy,59
2025-10-09,7,Curd,Dairy,35
2025-10-09,8,Pulao,Prepared Food,35
2025-10-10,1,Rice,Grains,43
2025-10-10,2,Chapati,Bakery,52
2025-10-10,3,Vegetable Curry,Cooked Food,35
2025-10-10,4,Dal,Cooked Food,28
2025-10-10,5,Bread,Bakery,45
2025-10-10,6,Milk,Dairy,56
2025-10-10,7,Curd,Dairy,26
2025-10-10,8,Pulao,Prepared Food,45
2025-10-11,1,Rice,Grains,56
2025-10-11,2,Chapati,Bakery,74
2025-10-11,3,Vegetable Curry,Cooked Food,45
2025-10-11,4,Dal,Cooked Food,35
2025-10-11,5,Bread,Bakery,52
2025-10-11,6,Milk,Dairy,71
2025-10-11,7,Curd,Dairy,34
2025-10-11,8,Pulao,Prepared Food,51
2025-10-12,1,Rice,Grains,63
2025-10-12,2,Chapati,Bakery,75
2025-10-12,3,Vegetable Curry,Cooked Food,47
2025-10-12,4,Dal,Cooked Food,45
2025-10-12,5,Bread,Bakery,50
2025-10-12,6,Milk,Dairy,78
2025-10-12,7,Curd,Dairy,50
2025-10-12,8,Pulao,Prepared Food,43
2025-10-13,1,Rice,Grains,57
2025-10-13,2,Chapati,Bakery,54
2025-10-13,3,Vegetable Curry,Cooked Food,37
2025-10-13,4,Dal,Cooked Food,34
2025-10-13,5,Bread,Bakery,41
2025-10-13,6,Milk,Dairy,44
2025-10-13,7,Curd,Dairy,40
2025-10-13,8,Pulao,Prepared Food,36
2025-10-14,1,Rice,Grains,39
2025-10-14,2,Chapati,Bakery,61
2025-10-14,3,Vegetable Curry,Cooked Food,32
2025-10-14,4,Dal,Cooked Food,34
2025-10-14,5,Bread,Bakery,43
2025-10-14,6,Milk,Dairy,45
2025-10-14,7,Curd,Dairy,25
2025-10-14,8,Pulao,Prepared Food,44
2025-10-15,1,Rice,Grains,37
2025-10-15,2,Chapati,Bakery,59
2025-10-15,3,Vegetable Curry,Cooked Food,34
2025-10-15,4,Dal,Cooked Food,33
2025-10-15,5,Bread,Bakery,43
2025-10-15,6,Milk,Dairy,52
2025-10-15,7,Curd,Dairy,31
2025-10-15,8,Pulao,Prepared Food,42
2025-10-16,1,Rice,Grains,37
2025-10-16,2,Chapati,Bakery,48
2025-10-16,3,Vegetable Curry,Cooked Food,37
2025-10-16,4,Dal,Cooked Food,27
2025-10-16,5,Bread,Bakery,41
2025-10-16,6,Milk,Dairy,49
2025-10-16,7,Curd,Dairy,32
2025-10-16,8,Pulao,Prepared Food,36
2025-10-17,1,Rice,Grains,49
2025-10-17,2,Chapati,Bakery,51
2025-10-17,3,Vegetable Curry,Cooked Food,37
2025-10-17,4,Dal,Cooked Food,27
2025-10-17,5,Bread,Bakery,36
2025-10-17,6,Milk,Dairy,42
2025-10-17,7,Curd,Dairy,28
2025-10-17,8,Pulao,Prepared Food,32
2025-10-18,1,Rice,Grains,54
2025-10-18,2,Chapati,Bakery,72
2025-10-18,3,Vegetable Curry,Cooked Food,36
2025-10-18,4,Dal,Cooked Food,31
2025-10-18,5,Bread,Bakery,47
2025-10-18,6,Milk,Dairy,65
2025-10-18,7,Curd,Dairy,45
2025-10-18,8,Pulao,Prepared Food,46
2025-10-19,1,Rice,Grains,56
2025-10-19,2,Chapati,Bakery,63
2025-10-19,3,Vegetable Curry,Cooked Food,42
2025-10-19,4,Dal,Cooked Food,36
2025-10-19,5,Bread,Bakery,48
2025-10-19,6,Milk,Dairy,55
2025-10-19,7,Curd,Dairy,44
2025-10-19,8,Pulao,Prepared Food,47
2025-10-20,1,Rice,Grains,58
2025-10-20,2,Chapati,Bakery,61
2025-10-20,3,Vegetable Curry,Cooked Food,41
2025-10-20,4,Dal,Cooked Food,28
2025-10-20,5,Bread,Bakery,50
2025-10-20,6,Milk,Dairy,54
2025-10-20,7,Curd,Dairy,40
2025-10-20,8,Pulao,Prepared Food,43
2025-10-21,1,Rice,Grains,44
